"","house_code","long","lat","kandida","kater","kawegi","near_kibuon_maranatha_church","near_munyu_maranatha_church","near_umbolwanda","shirikisho_church","unassessed","number_of_people","bondo_a_well_ewb_hope_college","bondo_concrete_water_tank","bondo_kokumu_well","bondo_water_kiosk","hand_dug_deep_well","kandwat","kapaul","kibuon_spring","koyanda","lela_b_well_ewb_oregon_state_sf_professional","lela_c","munyu_river","new_source","nyamilo_water_project_well","ogwedhi","ogwedhi_water_project","old_hand_dug_well","riamanyama","wadhanyim","wiyao_water_point","estimate"
"102","B47",34.4042393937707,-1.0824074432081,2028.46609591,1165.99224574,594.645402777,1400.36025745,203.980085944,1354.27284211,1878.18946862,1287.50908989,17,3767.0091995,2898.42922117,2180.15213494,1931.28906085,1652.35935368,1138.07131517,1225.65659643,997.700464723,794.965889971,4100.93341008,3507.96947085,972.773854415,1280.72620941,1767.77004232,845.800084265,2418.0969328,1330.53378081,1694.49404656,702.192189586,2038.05074901,295.534536393101
"103","B48",34.404274597764,-1.08281271968775,2004.28895517,1150.68164918,636.844219135,1399.41456549,248.702559294,1317.52354139,1858.12165386,1286.93807571,7,3742.56033384,2859.6213554,2136.62745206,1888.55129138,1666.53658193,1116.01040204,1202.57220786,978.42880945,777.921541384,4058.58956415,3463.88697423,951.456171375,1307.16550655,1766.95306957,890.508508905,2403.24111059,1306.50538993,1661.31943464,717.1481886,2004.0305912,146.454746819981
"104","B48",34.404274597764,-1.08281271968775,2004.28895517,1150.68164918,636.844219135,1399.41456549,248.702559294,1317.52354139,1858.12165386,1286.93807571,7,3742.56033384,2859.6213554,2136.62745206,1888.55129138,1666.53658193,1116.01040204,1202.57220786,978.42880945,777.921541384,4058.58956415,3463.88697423,951.456171375,1307.16550655,1766.95306957,890.508508905,2403.24111059,1306.50538993,1661.31943464,717.1481886,2004.0305912,146.454746819981
"105","B48",34.404274597764,-1.08281271968775,2004.28895517,1150.68164918,636.844219135,1399.41456549,248.702559294,1317.52354139,1858.12165386,1286.93807571,7,3742.56033384,2859.6213554,2136.62745206,1888.55129138,1666.53658193,1116.01040204,1202.57220786,978.42880945,777.921541384,4058.58956415,3463.88697423,951.456171375,1307.16550655,1766.95306957,890.508508905,2403.24111059,1306.50538993,1661.31943464,717.1481886,2004.0305912,146.454746819981
"106","B48",34.404274597764,-1.08281271968775,2004.28895517,1150.68164918,636.844219135,1399.41456549,248.702559294,1317.52354139,1858.12165386,1286.93807571,7,3742.56033384,2859.6213554,2136.62745206,1888.55129138,1666.53658193,1116.01040204,1202.57220786,978.42880945,777.921541384,4058.58956415,3463.88697423,951.456171375,1307.16550655,1766.95306957,890.508508905,2403.24111059,1306.50538993,1661.31943464,717.1481886,2004.0305912,146.454746819981
"107","B49",34.4042598456144,-1.08346505045022,1960.43024958,1121.96338321,702.458852099,1393.0282803,321.23646275,1255.19901012,1820.7443795,1281.4184865,6,3697.64452918,2793.97190808,2065.14832043,1817.95621671,1684.03228169,1076.64207752,1161.3863985,943.923415324,747.946901018,3988.37034654,3391.85112063,928.33894519,1345.2486798,1760.13999544,960.840538146,2373.5786214,1263.63964321,1604.04602486,738.974616756,1945.33902255,131.546767862669
"108","B50",34.4037995114922,-1.0836547828039,1906.45770845,1066.64581095,704.374901477,1341.19059255,348.180151393,1210.08134642,1765.73744602,1229.88198489,8,3643.98377509,2752.29735427,2034.91807182,1784.95016587,1641.29122076,1021.79292004,1106.81555284,888.636892714,692.620853224,3954.22039913,3363.98883884,971.295718318,1315.65779264,1708.05440291,972.003771363,2318.2241093,1209.38597483,1555.22010976,700.147633678,1897.4387232,161.362725777293
"109","B50",34.4037995114922,-1.0836547828039,1906.45770845,1066.64581095,704.374901477,1341.19059255,348.180151393,1210.08134642,1765.73744602,1229.88198489,8,3643.98377509,2752.29735427,2034.91807182,1784.95016587,1641.29122076,1021.79292004,1106.81555284,888.636892714,692.620853224,3954.22039913,3363.98883884,971.295718318,1315.65779264,1708.05440291,972.003771363,2318.2241093,1209.38597483,1555.22010976,700.147633678,1897.4387232,161.362725777293
"110","B50",34.4037995114922,-1.0836547828039,1906.45770845,1066.64581095,704.374901477,1341.19059255,348.180151393,1210.08134642,1765.73744602,1229.88198489,8,3643.98377509,2752.29735427,2034.91807182,1784.95016587,1641.29122076,1021.79292004,1106.81555284,888.636892714,692.620853224,3954.22039913,3363.98883884,971.295718318,1315.65779264,1708.05440291,972.003771363,2318.2241093,1209.38597483,1555.22010976,700.147633678,1897.4387232,161.362725777293
"111","B50",34.4037995114922,-1.0836547828039,1906.45770845,1066.64581095,704.374901477,1341.19059255,348.180151393,1210.08134642,1765.73744602,1229.88198489,8,3643.98377509,2752.29735427,2034.91807182,1784.95016587,1641.29122076,1021.79292004,1106.81555284,888.636892714,692.620853224,3954.22039913,3363.98883884,971.295718318,1315.65779264,1708.05440291,972.003771363,2318.2241093,1209.38597483,1555.22010976,700.147633678,1897.4387232,161.362725777293
"112","B51",34.404049962759,-1.08373925727556,1923.85094256,1089.68221627,722.36462566,1368.82415687,353.397813218,1216.92662541,1785.69177086,1257.67490239,5,3660.76426884,2756.24382344,2030.73432336,1782.5512085,1670.6726349,1041.30461911,1125.56295891,910.005303554,715.666230529,3952.65385972,3358.38932414,941.951160355,1343.68906583,1735.53091632,986.055066668,2340.58990093,1227.39416373,1565.68997601,729.378363995,1906.94614272,116.638788905357
"113","B52",34.4042367115617,-1.08422196849701,1911.17028803,1093.09763317,779.90509084,1389.66603197,405.43557834,1183.95900117,1779.50014829,1279.4799822,6,3646.09872797,2717.9274551,1982.17065517,1736.06594453,1707.34346063,1034.86619815,1117.01633584,908.889896246,720.150081031,3906.81207654,3308.19663584,908.719792277,1392.34084895,1755.29387579,1042.69980634,2340.88038429,1216.85698565,1538.75959071,771.517849444,1878.02684131,131.546767862669
